                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.483,                 2.7746,                 1.5764,                0.00733,                 0.6875,                0.35998,                0.12762,                 1.6178,                 2.9974,                  1.595,                  6e-05,                  6e-05,                  6e-05
                      2,                 1.0501,                 2.5691,                 1.2935,                0.00733,                 0.6875,                0.42615,                0.15732,                 1.6814,                 3.0188,                 1.6173,             0.00013861,             0.00013861,             0.00013861
                      3,                 0.9438,                 2.3029,                 1.1877,                0.00733,                 0.6875,                0.42298,                0.18779,                 1.8316,                 3.0221,                 1.8822,             0.00021564,             0.00021564,             0.00021564
                      4,                0.93068,                 2.0795,                 1.1694,                0.00733,                 0.6875,                0.41005,                0.18674,                 1.6953,                 2.9462,                 2.1145,             0.00029109,             0.00029109,             0.00029109
                      5,                  0.972,                 1.8576,                 1.2745,                0.00733,                 0.6875,                0.40147,                 0.1206,                 1.8613,                 3.0072,                 2.0775,             0.00036495,             0.00036495,             0.00036495
                      6,                0.79924,                  1.628,                  1.097,                0.00733,                 0.6875,                0.42885,                 0.1826,                 1.8358,                 2.9821,                 2.1495,             0.00043723,             0.00043723,             0.00043723
                      7,                0.90119,                  1.504,                 1.1619,                  0.008,                   0.75,                0.44457,                0.27187,                 1.5292,                 2.9218,                 1.8106,             0.00050792,             0.00050792,             0.00050792
                      8,                  0.948,                 1.4321,                 1.1696,                0.53537,                 0.4375,                0.44064,                0.19014,                 2.0888,                 3.1692,                 2.2708,             0.00057703,             0.00057703,             0.00057703
                      9,                0.95472,                 1.3366,                 1.2213,                0.36619,                0.07482,                0.24602,                0.10828,                 2.5304,                  3.128,                 2.7487,             0.00064456,             0.00064456,             0.00064456
                     10,                0.85801,                 1.1833,                 1.1389,                0.89649,                 0.1875,                0.36325,                0.12964,                 2.5471,                 2.9303,                 2.8806,              0.0007105,              0.0007105,              0.0007105
                     11,                0.98981,                 1.2156,                 1.2353,                0.64866,                0.23312,                0.32066,                0.13611,                  2.744,                 3.1741,                  2.803,             0.00077486,             0.00077486,             0.00077486
                     12,                 1.0604,                 1.2371,                 1.2395,                0.42532,                 0.1875,                0.14479,                0.06088,                 2.6022,                 2.9527,                 2.6111,             0.00083763,             0.00083763,             0.00083763
                     13,                 0.9966,                 1.2605,                  1.203,                0.19811,                  0.125,                0.11784,                0.06119,                 2.8928,                 3.2458,                  2.873,             0.00089882,             0.00089882,             0.00089882
                     14,                0.94863,                 1.1579,                 1.1756,                0.43935,                 0.1875,                0.15393,                0.06436,                 2.8664,                 3.3718,                 2.8788,             0.00095843,             0.00095843,             0.00095843
                     15,                0.89162,                 1.0697,                  1.121,                0.41197,                0.30697,                0.22866,                0.07546,                 2.5183,                 3.0302,                  2.476,              0.0010165,              0.0010165,              0.0010165
                     16,                0.79342,                0.98835,                 1.1039,                0.67677,                 0.1875,                0.23641,                0.08292,                 2.3034,                 2.8305,                 2.2056,              0.0010729,              0.0010729,              0.0010729
